frequencia_Hz,magnitude_PM,magnitude_FM,magnitude_AM_DSB
2350.0,9.101154519586546e-13,3.3274847000086197e-13,1.557294944017163e-12
2360.0,6.708776015357965e-13,2.5232875575925116e-12,8.413051061394425e-13
2370.0,5.61866479230103e-13,1.9766174086582815e-12,5.626377079479925e-13
2380.0,1.2315402940597262e-12,3.8963441304489134e-13,9.405427727754988e-13
2390.0,9.520220350727138e-13,1.103500937177873e-12,8.347858598164863e-13
2400.0,84.989299518922,1.0478852102627818,2.789714166571129e-13
2410.0,2.085349146979912e-12,2.3787304952020913e-12,5.111035301860925e-13
2420.0,1.1580552766687223e-12,1.6091559387718557e-12,5.613376554955125e-13
2430.0,9.226215729467435e-13,6.782455808014584e-13,5.049092472358992e-13
2440.0,1.2738622299806714e-12,1.7219979692445675e-12,3.049408629467299e-13
2450.0,1.9648040575509548e-12,1.9175415705742392e-12,8.51492838423451e-13
2460.0,1.7005399150679128e-12,3.8616698111255976e-13,3.4627003217949026e-13
2470.0,1.6458893494149997e-12,3.54748729747411e-13,8.050397182876632e-13
2480.0,1.666568182974111e-12,1.2104985393405153e-12,2.79769830359991e-13
2490.0,2.267258509336648e-12,9.60005420017403e-13,1.0982631491527891e-12
2500.0,17.59907438967673,0.06693706351038117,1.8966887244822404e-12
2510.0,3.5404593455705977e-12,4.490701241111857e-13,2.1481574024087513e-12
2520.0,2.2464695667765726e-12,2.843676337403205e-12,9.483907540688101e-13
2530.0,1.9750881609163267e-12,6.487539421578065e-13,2.917805122578809e-13
2540.0,1.4554836735632114e-12,7.828829405824983e-13,9.713916128782523e-13
2550.0,1.2244590634713044e-12,5.49786317773609e-13,4.38686697243388e-13
2560.0,8.091828118360069e-13,1.1889873205711724e-12,4.648750352250953e-13
2570.0,2.1692257543642493e-12,3.1402714466867994e-13,8.475375988948467e-13
2580.0,3.484726599004933e-12,8.735849765576126e-13,4.069146650127181e-13
2590.0,4.988295132634779e-12,9.813154380762439e-13,5.268652000180884e-13
2600.0,3.0060724294752985,0.0035597246108777605,6.17421314643767e-13
2610.0,2.5585175188727643e-12,1.3427899955292186e-12,1.5191754078100255e-13
2620.0,2.3568789934351386e-12,1.2202196492882143e-12,7.441057719108558e-13
2630.0,1.0667590917589234e-12,8.39193942869425e-13,6.278509283260006e-13
2640.0,2.2492960619270553e-12,6.13794011366365e-13,9.909344847851975e-13
2650.0,1.6987956705381802e-12,6.545935207875537e-13,1.218143417837272e-12
2660.0,1.8675983862050283e-12,5.023768196496565e-13,5.289952080700564e-13
2670.0,1.143161937800763e-12,1.44977226998022e-12,2.977444331391361e-13
2680.0,1.2692135440265722e-12,3.330208871478866e-12,8.855373268603371e-13
2690.0,2.025323633960293e-12,3.6451644097218185e-12,1.0947852197998757e-12
2700.0,0.4373601871703638,0.00016216461144654939,1.5920405980295674e-12
2710.0,1.5709997984146839e-12,3.3824024475282414e-12,2.1739893980015088e-12
2720.0,3.1547697742234646e-12,3.2698045530407045e-12,1.96896473735649e-12
2730.0,3.925044311853352e-12,2.969439429348953e-12,1.8261070691890717e-12
2740.0,2.9272671319662197e-12,2.7036293287187507e-12,1.600946083300594e-12
2750.0,1.4345730998015722e-12,1.7861911617546725e-12,1.6927969490135735e-12
2760.0,2.113473949360965e-12,1.7007802878331829e-12,1.283299902255585e-12
2770.0,2.4707164797809082e-12,7.357513402662168e-13,6.909600168395989e-13
2780.0,3.320579796234117e-12,1.6649541944639337e-12,4.2645891858474706e-13
2790.0,2.7619828240897713e-12,5.067979083423328e-12,5.830211692773221e-13
2800.0,0.055448880718074064,6.461426947141727e-06,7.451028083840719e-13
2810.0,5.1056649761612484e-12,4.0215750899814274e-12,1.5860212765373556e-12
2820.0,3.5940263902600857e-12,6.8877051673772625e-12,4.178201220641294e-12
2830.0,6.7022450735967556e-12,5.498134333114613e-12,3.9477031083073664e-12
2840.0,3.797488024931507e-12,4.753031094171306e-12,2.9175260611352006e-12
2850.0,1.4475660512369066e-12,2.4934856447492114e-12,8.863965894624996e-13
2860.0,1.8209333346900698e-12,1.6332237307738504e-12,7.981446657166584e-13
2870.0,1.7550937207611037e-12,1.2336887043306664e-12,9.689840130136152e-13
2880.0,2.761408647521204e-12,1.6944573735539605e-13,6.042046415887244e-13
2890.0,4.5239453127595134e-12,1.6076432849810986e-12,1.268406832651071e-12
2900.0,0.00623085858814905,2.2878404726653144e-07,1.134527844667361e-12
2910.0,2.3439744956961287e-12,2.2497298896999073e-12,2.107053770991134e-12
2920.0,2.8072648213084753e-12,7.164573040899344e-12,2.4554524283692732e-12
2930.0,2.414785267778639e-12,7.884362483075005e-12,2.0447576588001662e-12
2940.0,2.4670819419576423e-12,5.9880778481520014e-12,1.435792909651004e-12
2950.0,1.0247938556825746e-12,2.7094739758444254e-12,1.5706096715382064e-12
2960.0,8.063987949137111e-13,8.040181316559762e-13,9.222169722498918e-13
2970.0,1.2071634180236842e-12,1.9523155530557116e-12,4.0214980486926105e-15
2980.0,2.778972246281725e-12,2.054638420638457e-12,9.2284250615293e-13
2990.0,3.723941518915073e-12,5.258172473086474e-12,6.672392387913739e-13
3000.0,0.0006288465696585202,7.288020383621909e-09,5.201982364536004e-13
3010.0,3.4335723792376613e-12,5.742265919223315e-12,1.900394227763983e-12
3020.0,5.813533124625851e-12,6.079769036450107e-12,3.66204740155426e-12
3030.0,6.550961177106378e-12,5.604039987626061e-12,4.451679644880347e-12
3040.0,4.975059165948601e-12,1.8014835113859375e-12,3.226238847540901e-12
3050.0,2.686087015938951e-12,1.2035475519121094e-12,1.8668993844659675e-12
3060.0,3.0523676388020947e-12,2.7951229021000573e-12,8.191948624640853e-13
3070.0,2.2499434569812707e-12,2.7717488745694593e-12,1.2324311953933693e-12
3080.0,1.4515514433690373e-12,3.862934429295912e-12,1.9934768300599857e-13
3090.0,1.2588711651524697e-12,4.144393386276329e-12,8.57383793051748e-13
3100.0,5.76071191556856e-05,2.1676426936247691e-10,1.407394769769244e-12
3110.0,1.1614984531201584e-12,5.059692532330127e-12,6.230718233284308e-13
3120.0,2.4160872792805204e-12,2.038976801749857e-12,4.322083226936979e-13
3130.0,9.798461507673909e-13,1.985061049824317e-12,1.182202550542128e-12
3140.0,1.2792354439779625e-12,1.405584283721272e-12,6.73138446540745e-13
3150.0,7.427619058184926e-13,1.3232166948153042e-12,6.207897674250278e-13
3160.0,1.7854131774349604e-12,4.944336993782011e-13,5.152853080300374e-13
3170.0,1.504979649006193e-12,9.46954948635237e-13,2.609269749824654e-13
3180.0,2.2865686985431205e-12,6.639169371158686e-13,8.405431769776792e-13
3190.0,1.873518614170535e-12,4.725261488381936e-13,3.2915289742680754e-13
3200.0,4.831739675423768e-06,5.703963680339318e-12,6.565151987835748e-13
3210.0,2.2274288061327914e-12,1.6887458043760739e-12,2.7788716192016635e-13
3220.0,9.314487688892486e-13,1.7445074092805433e-12,3.7905582850577265e-13
3230.0,2.1558956595361832e-12,1.7680049885006024e-12,7.497121142630681e-13
3240.0,4.4009883466752724e-13,1.2709887619754594e-12,4.1276638231562643e-13
3250.0,1.080075576932898e-12,1.8546681661072155e-12,4.659710198856352e-13
3260.0,4.610025479944481e-13,1.3373285211112685e-12,8.88801635536046e-13
3270.0,1.123267225812214e-12,1.2790162806974137e-12,3.4509300012785803e-13
3280.0,8.506198984804407e-13,8.208507277047853e-13,2.0212152600774817e-13
3290.0,1.9722716783917747e-12,1.7015539220765147e-12,4.788493341533882e-13
3300.0,3.7373395616907413e-07,1.502812537961137e-12,7.151195516278004e-13
3310.0,1.650877231496759e-12,6.130641826790872e-14,6.706476782818972e-13
3320.0,1.1724882067348556e-12,1.2155786822505017e-13,3.254249436196972e-13
3330.0,1.3060615709279327e-12,1.0396993746321164e-12,8.54027483786557e-13
3340.0,2.116593935163499e-12,9.13722131769289e-13,5.700172106290098e-13
3350.0,1.436546638649876e-12,1.2694345124993689e-12,2.0439045587453698e-13
3360.0,1.192565673566193e-12,1.3946840391825948e-12,7.435224284276807e-13
3370.0,7.673717204219365e-13,1.4090089574515377e-12,1.0506546590816117e-12
3380.0,2.7197961558063315e-13,1.188708801602204e-12,1.6811574822966618e-12
3390.0,2.583915674193491e-12,9.507463749940103e-13,1.9312037889192463e-12
3400.0,2.6822055546922336e-08,1.293489748395063e-12,1.3598780131721506e-12
3410.0,1.6174028570716494e-12,1.809997180158329e-12,8.447691919497356e-13
3420.0,1.0864183671168591e-12,1.0907155828673175e-12,8.512318263666886e-13
3430.0,1.3307323101829759e-12,1.4198832736716953e-13,2.1129673828400105e-13
3440.0,3.5096450300487624e-12,6.668500286806497e-14,1.0403285942499633e-12
3450.0,1.5068220278102098e-12,3.014035648874733e-13,1.3347801594438887e-12
3460.0,4.125040576406543e-12,1.1881461903287646e-12,8.788390167658091e-13
3470.0,3.263292968910326e-12,2.133544971622107e-12,1.0707055515553753e-12
3480.0,4.23800582060128e-12,4.564367880970981e-12,3.1378397700689857e-13
3490.0,3.5498549955820703e-12,5.219407456950681e-12,1.343470462312047e-12
3500.0,1.7925922876794854e-09,2.9794889488359643e-13,2.0861988212482927e-12
3510.0,1.1299707890216972e-12,4.936889550471088e-12,6.483010953825778e-13
3520.0,1.8407851537396863e-12,4.1286256204957086e-12,2.6802522062977704e-12
3530.0,5.711519062698456e-12,3.017110872501745e-12,1.3042928369125017e-13
3540.0,5.61076981451751e-12,1.5804707260855377e-12,2.7525922587759256e-12
3550.0,6.307628975215445e-12,9.75326964175694e-13,2.108985176972792e-12
